Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-02-25,1860.25,1899.0,1860.25,1870.5999755859375,4403,0,0
2022-02-28,1879.0,1895.0,1870.0,1886.0999755859375,6890,0,0
2022-03-02,1877.9000244140625,1878.0,1832.0,1844.050048828125,8976,0,0
2022-03-03,1853.300048828125,1880.0,1837.3499755859375,1854.050048828125,4425,0,0
2022-03-04,1854.0,1854.0,1825.0,1836.75,4563,0,0
2022-03-07,1832.0,1873.9000244140625,1810.0,1826.699951171875,10749,0,0
2022-03-08,1830.0,1856.0,1809.0,1824.4000244140625,6779,0,0
2022-03-09,1824.4000244140625,1874.800048828125,1823.550048828125,1865.9000244140625,7069,0,0
2022-03-10,1898.9000244140625,1930.75,1877.0,1918.1500244140625,15899,0,0
2022-03-11,1891.0,1973.300048828125,1891.0,1952.1500244140625,14511,0,0
2022-03-14,1961.949951171875,1968.199951171875,1918.949951171875,1935.800048828125,7408,0,0
2022-03-15,1928.0,1944.0,1910.0,1927.8499755859375,6019,0,0
2022-03-16,1935.3499755859375,1974.199951171875,1919.0,1965.1500244140625,7763,0,0
2022-03-17,1956.1500244140625,1964.0,1920.0,1940.949951171875,22015,0,0
2022-03-21,1940.0,1968.0,1913.0,1960.4000244140625,8939,0,0
2022-03-22,1935.0999755859375,1964.949951171875,1924.949951171875,1947.0,4662,0,0
2022-03-23,1947.0,1954.300048828125,1925.0,1947.0,3903,0,0
2022-03-24,1947.0,1947.0,1915.699951171875,1930.1500244140625,8452,0,0
2022-03-25,1921.050048828125,1955.9000244140625,1900.3499755859375,1944.9000244140625,7387,0,0
