Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-02-25,27.549999237060547,28.0,26.200000762939453,27.799999237060547,28460,0,0
2022-02-28,28.25,28.25,26.450000762939453,27.399999618530273,11497,0,0
2022-03-02,27.399999618530273,28.75,26.5,28.299999237060547,20760,0,0
2022-03-03,27.75,28.5,27.600000381469727,27.75,6637,0,0
2022-03-04,27.600000381469727,27.799999237060547,26.549999237060547,26.950000762939453,41021,0,0
2022-03-07,25.649999618530273,27.149999618530273,25.649999618530273,26.100000381469727,17495,0,0
2022-03-08,25.049999237060547,26.700000762939453,25.049999237060547,26.25,14535,0,0
2022-03-09,26.799999237060547,27.549999237060547,26.0,27.5,13307,0,0
2022-03-10,28.850000381469727,28.850000381469727,27.549999237060547,28.450000762939453,22823,0,0
2022-03-11,28.950000762939453,28.950000762939453,27.049999237060547,27.850000381469727,16738,0,0
2022-03-14,27.700000762939453,28.899999618530273,27.100000381469727,28.75,21408,0,0
2022-03-15,29.5,29.899999618530273,27.5,28.5,28204,0,0
2022-03-16,28.049999237060547,29.0,27.799999237060547,28.700000762939453,8210,0,0
2022-03-17,29.0,29.5,27.5,28.450000762939453,28870,0,0
2022-03-21,28.399999618530273,28.399999618530273,27.5,27.950000762939453,6428,0,0
2022-03-22,27.049999237060547,28.75,27.049999237060547,28.299999237060547,4122,0,0
2022-03-23,27.799999237060547,28.0,26.899999618530273,27.799999237060547,12275,0,0
2022-03-24,26.600000381469727,28.399999618530273,26.549999237060547,27.200000762939453,27792,0,0
2022-03-25,27.350000381469727,27.799999237060547,26.100000381469727,26.75,13632,0,0
