Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-02-25,8874.0,9149.0498046875,8720.0,9085.4501953125,21190,0,0
2022-02-28,9070.0,9307.0,8972.099609375,9256.5498046875,16578,0,0
2022-03-02,9255.0,9345.150390625,8959.849609375,9082.0498046875,20585,0,0
2022-03-03,9223.900390625,9223.900390625,8650.0,8854.2998046875,25914,0,0
2022-03-04,8850.0,8850.0,8500.0,8545.5498046875,35712,0,0
2022-03-07,8484.9501953125,8683.150390625,8216.25,8600.7998046875,25788,0,0
2022-03-08,8645.0,9180.0,8502.5498046875,9106.849609375,37614,0,0
2022-03-09,9164.5,9210.0,8780.0498046875,8979.5,51768,0,0
2022-03-10,9181.7998046875,9181.7998046875,8865.0,8946.25,27958,0,0
2022-03-11,8944.0,9600.0,8902.2998046875,9537.2998046875,71842,0,0
2022-03-14,9498.900390625,9637.25,9230.5498046875,9499.150390625,46374,0,0
2022-03-15,9549.7998046875,9774.0498046875,9504.75,9722.5,58881,0,0
2022-03-16,9774.0,10000.0,9652.0498046875,9913.7998046875,97722,0,0
2022-03-17,9940.0,10049.5,9600.0,9738.900390625,91365,0,0
2022-03-21,9900.0,9994.400390625,9764.4501953125,9841.900390625,33525,0,0
2022-03-22,9840.0,10012.0,9772.349609375,9972.25,30096,0,0
2022-03-23,9965.0,10026.849609375,9580.0,9686.9501953125,42167,0,0
2022-03-24,9721.599609375,9952.5,9640.0,9877.150390625,35311,0,0
2022-03-25,9950.0,10289.599609375,9730.0,10117.7998046875,108498,0,0
