Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-02-25,1452.050048828125,1508.0,1452.050048828125,1496.949951171875,8456,0,0
2022-02-28,1473.0,1525.0,1456.0,1518.0999755859375,12569,0,0
2022-03-02,1486.0,1524.800048828125,1456.25,1475.25,17584,0,0
2022-03-03,1472.0,1493.050048828125,1464.449951171875,1481.199951171875,5375,0,0
2022-03-04,1480.0,1480.8499755859375,1444.0,1463.25,6008,0,0
2022-03-07,1452.0,1475.5,1406.050048828125,1462.1500244140625,9359,0,0
2022-03-08,1455.0,1477.0,1415.0,1424.8499755859375,5758,0,0
2022-03-09,1430.0,1454.0,1413.050048828125,1438.8499755859375,12261,0,0
2022-03-10,1450.050048828125,1515.949951171875,1449.949951171875,1499.9000244140625,37180,0,0
2022-03-11,1507.4000244140625,1539.5,1452.9000244140625,1475.8499755859375,12735,0,0
2022-03-14,1476.0,1498.5,1425.949951171875,1445.5999755859375,7471,0,0
2022-03-15,1452.8499755859375,1464.949951171875,1432.050048828125,1447.3499755859375,4115,0,0
2022-03-16,1448.0,1500.0,1448.0,1486.5999755859375,13873,0,0
2022-03-17,1494.050048828125,1599.9000244140625,1494.0,1560.800048828125,56850,0,0
2022-03-21,1586.6500244140625,1695.0,1567.0,1666.9000244140625,72582,0,0
2022-03-22,1689.0,1689.9000244140625,1610.3499755859375,1621.199951171875,17980,0,0
2022-03-23,1648.0,1648.800048828125,1551.550048828125,1597.800048828125,23404,0,0
2022-03-24,1599.949951171875,1604.0,1558.25,1574.6500244140625,10171,0,0
2022-03-25,1574.6500244140625,1601.25,1527.050048828125,1552.1500244140625,9531,0,0
