Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-02-25,350.45001220703125,359.0,348.6499938964844,356.04998779296875,2619038,0,0
2022-02-28,352.0,361.0,349.25,360.3999938964844,941141,0,0
2022-03-02,357.1000061035156,363.54998779296875,352.8999938964844,355.04998779296875,902427,0,0
2022-03-03,357.8999938964844,360.1499938964844,350.79998779296875,351.6000061035156,661895,0,0
2022-03-04,348.1000061035156,351.45001220703125,344.75,345.95001220703125,856777,0,0
2022-03-07,343.70001220703125,345.75,331.54998779296875,342.1000061035156,969180,0,0
2022-03-08,342.1000061035156,347.0,335.75,344.5,978348,0,0
2022-03-09,350.0,363.0,348.04998779296875,359.3500061035156,3946522,0,0
2022-03-10,368.0,368.0,361.5,365.75,2097821,0,0
2022-03-11,363.1000061035156,374.6000061035156,362.3999938964844,370.6499938964844,1365084,0,0
2022-03-14,373.0,374.1499938964844,363.1000061035156,365.3500061035156,840970,0,0
2022-03-15,368.0,373.6499938964844,366.54998779296875,369.6000061035156,1707534,0,0
2022-03-16,372.1499938964844,376.0,369.54998779296875,375.1499938964844,1078307,0,0
2022-03-17,378.0,378.6000061035156,371.3999938964844,373.29998779296875,994040,0,0
2022-03-21,375.0,377.8999938964844,365.5,366.3999938964844,1058349,0,0
2022-03-22,368.0,368.0,358.29998779296875,360.1000061035156,1459296,0,0
2022-03-23,360.8999938964844,369.0,360.5,367.79998779296875,1283159,0,0
2022-03-24,365.0,373.3500061035156,364.0,367.1000061035156,1188562,0,0
