Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-02-25,780.0,815.2999877929688,731.5,755.75,25641,0,0
2022-02-28,732.0,756.3499755859375,723.2999877929688,733.0999755859375,23035,0,0
2022-03-02,740.0,743.9500122070312,700.0,726.5,16960,0,0
2022-03-03,744.1500244140625,779.9500122070312,728.0499877929688,744.25,18049,0,0
2022-03-04,743.6500244140625,744.0,700.0,704.0999755859375,28700,0,0
2022-03-07,714.6500244140625,716.0,672.4500122070312,685.8499755859375,17190,0,0
2022-03-08,712.2000122070312,716.0,682.5499877929688,701.4000244140625,15544,0,0
2022-03-09,720.0,733.2999877929688,688.2999877929688,721.5499877929688,30172,0,0
2022-03-10,758.4000244140625,765.2999877929688,732.6500244140625,750.5499877929688,23208,0,0
2022-03-11,763.25,788.4000244140625,748.0,771.9000244140625,14523,0,0
2022-03-14,787.0,809.0,753.0499877929688,797.5499877929688,17918,0,0
2022-03-15,811.9500122070312,812.0499877929688,780.25,800.3499755859375,19950,0,0
2022-03-16,818.9500122070312,819.0,792.1500244140625,799.8499755859375,14794,0,0
2022-03-17,818.5499877929688,818.5499877929688,800.0999755859375,807.1500244140625,20382,0,0
2022-03-21,811.7000122070312,885.0,800.1500244140625,814.75,17266,0,0
2022-03-22,836.0,896.2000122070312,835.9500122070312,896.2000122070312,40356,0,0
2022-03-23,896.5,940.0,884.3499755859375,903.7999877929688,46830,0,0
2022-03-24,893.0,921.25,891.0,902.25,19447,0,0
2022-03-25,895.0,916.4500122070312,895.0,909.0499877929688,22236,0,0
