Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-02-25,676.5499877929688,685.1500244140625,670.9000244140625,680.2999877929688,110486,0,0
2022-02-28,680.0,684.0999755859375,652.2999877929688,667.2000122070312,118901,0,0
2022-03-02,660.0,703.6500244140625,660.0,695.0499877929688,172985,0,0
2022-03-03,695.0,730.0,695.0,724.5499877929688,137303,0,0
2022-03-04,720.0,720.0,701.0499877929688,704.7000122070312,50446,0,0
2022-03-07,690.0,718.0,688.0,704.75,106245,0,0
2022-03-08,712.4500122070312,721.9500122070312,689.5499877929688,717.75,71309,0,0
2022-03-09,722.0,725.25,705.0999755859375,721.2999877929688,101179,0,0
2022-03-10,728.5999755859375,749.8499755859375,728.5999755859375,733.0,73829,0,0
2022-03-11,733.0,743.0,725.1500244140625,736.7000122070312,56923,0,0
2022-03-14,740.0,742.9500122070312,719.5999755859375,729.0,53484,0,0
2022-03-15,732.6500244140625,740.0,725.0,728.9500122070312,42712,0,0
2022-03-16,729.0,736.0,726.0499877929688,729.4500122070312,32920,0,0
2022-03-17,735.0,754.7000122070312,734.1500244140625,738.6500244140625,184711,0,0
2022-03-21,741.0,744.4500122070312,730.25,734.4000244140625,102179,0,0
2022-03-22,730.0,733.5999755859375,700.0,706.9000244140625,267558,0,0
2022-03-23,714.5499877929688,739.0,707.0,727.25,119715,0,0
2022-03-24,725.0,729.4000244140625,716.0,717.1500244140625,43348,0,0
2022-03-25,717.0,721.9500122070312,701.0,703.7000122070312,81959,0,0
