Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-02-25,108.25,112.0,102.94999694824219,105.05000305175781,56832,0,0
2022-02-28,105.9000015258789,111.80000305175781,104.8499984741211,110.8499984741211,47390,0,0
2022-03-02,109.30000305175781,114.75,105.19999694824219,108.25,55285,0,0
2022-03-03,111.30000305175781,117.55000305175781,110.0,112.30000305175781,62861,0,0
2022-03-04,112.3499984741211,114.5999984741211,110.9000015258789,112.05000305175781,19501,0,0
2022-03-07,110.05000305175781,111.0999984741211,106.9000015258789,107.75,13847,0,0
2022-03-08,110.25,111.25,108.25,109.69999694824219,8677,0,0
2022-03-09,111.69999694824219,115.0,110.0,113.44999694824219,49477,0,0
2022-03-10,117.80000305175781,119.9000015258789,113.0,115.80000305175781,60657,0,0
2022-03-11,116.69999694824219,116.8499984741211,113.1500015258789,114.6500015258789,11766,0,0
2022-03-14,116.30000305175781,116.30000305175781,111.25,112.75,16241,0,0
2022-03-15,113.9000015258789,116.94999694824219,110.0999984741211,110.6500015258789,28747,0,0
2022-03-16,112.6500015258789,114.9000015258789,112.0999984741211,113.69999694824219,15881,0,0
2022-03-17,114.25,116.19999694824219,114.0,114.3499984741211,12510,0,0
2022-03-21,115.0,115.5,113.0999984741211,113.69999694824219,14597,0,0
2022-03-22,113.75,116.0,112.0,115.55000305175781,29523,0,0
2022-03-23,116.19999694824219,117.5,114.3499984741211,115.80000305175781,16336,0,0
2022-03-24,114.5,116.30000305175781,113.3499984741211,113.75,24690,0,0
2022-03-25,115.80000305175781,115.80000305175781,112.05000305175781,112.75,18345,0,0
