Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-02-25,60.0,60.75,58.599998474121094,60.349998474121094,916882,0,0
2022-02-28,60.0,61.900001525878906,59.599998474121094,61.650001525878906,870105,0,0
2022-03-02,61.5,62.849998474121094,60.849998474121094,61.5,1002914,0,0
2022-03-03,62.70000076293945,66.8499984741211,61.20000076293945,64.9000015258789,3557018,0,0
2022-03-04,63.849998474121094,65.1500015258789,63.29999923706055,64.44999694824219,1377164,0,0
2022-03-07,63.79999923706055,65.9000015258789,62.400001525878906,64.4000015258789,1375920,0,0
2022-03-08,64.4000015258789,66.05000305175781,64.0999984741211,64.94999694824219,1137067,0,0
2022-03-09,65.0999984741211,65.5,64.94999694824219,65.0999984741211,436069,0,0
2022-03-10,65.5999984741211,66.0,65.0,65.05000305175781,585930,0,0
2022-03-11,65.0999984741211,65.75,64.5,65.05000305175781,727738,0,0
2022-03-14,65.4000015258789,65.4000015258789,64.0,64.1500015258789,760183,0,0
2022-03-15,64.4000015258789,64.5999984741211,61.349998474121094,61.900001525878906,2370997,0,0
2022-03-16,62.45000076293945,62.650001525878906,62.0,62.349998474121094,1010080,0,0
2022-03-17,62.849998474121094,63.0,60.849998474121094,61.349998474121094,3750118,0,0
2022-03-21,62.0,62.400001525878906,61.25,61.599998474121094,1606282,0,0
2022-03-22,61.79999923706055,62.0,61.25,61.5,1041540,0,0
2022-03-23,61.599998474121094,62.599998474121094,61.599998474121094,62.099998474121094,1568392,0,0
2022-03-24,62.29999923706055,62.70000076293945,62.0,62.20000076293945,1003732,0,0
2022-03-25,62.29999923706055,65.30000305175781,62.0,64.55000305175781,4953879,0,0
