Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-02-25,2799.89990234375,2841.699951171875,2728.0,2773.85009765625,7666,0,0
2022-02-28,2787.75,2844.89990234375,2707.300048828125,2820.0,7311,0,0
2022-03-02,2800.0,2834.10009765625,2762.10009765625,2783.449951171875,2758,0,0
2022-03-03,2797.39990234375,2849.85009765625,2762.60009765625,2837.89990234375,3826,0,0
2022-03-04,2852.10009765625,2862.050048828125,2780.0,2826.39990234375,6248,0,0
2022-03-07,2824.0,2860.0,2726.10009765625,2803.550048828125,5884,0,0
2022-03-08,2799.0,2942.949951171875,2779.0,2880.89990234375,7981,0,0
2022-03-09,2856.0,3009.89990234375,2856.0,2964.5,2881,0,0
2022-03-10,3050.0,3130.0,2902.14990234375,2920.35009765625,14155,0,0
2022-03-11,2939.0,3241.0,2892.35009765625,3154.300048828125,48019,0,0
2022-03-14,3133.0,3460.050048828125,3100.64990234375,3380.64990234375,25604,0,0
2022-03-15,3366.0,3407.75,3321.10009765625,3349.949951171875,5152,0,0
2022-03-16,3366.699951171875,3495.0,3308.85009765625,3356.60009765625,4307,0,0
2022-03-17,3407.949951171875,3407.949951171875,3310.0,3316.60009765625,2783,0,0
2022-03-21,3317.0,3345.0,3225.10009765625,3277.449951171875,7727,0,0
2022-03-22,3293.85009765625,3293.85009765625,3214.199951171875,3232.800048828125,3026,0,0
2022-03-23,3249.0,3257.35009765625,3143.0,3168.800048828125,2443,0,0
2022-03-24,3182.949951171875,3393.5,3141.85009765625,3174.199951171875,20487,0,0
2022-03-25,3175.0,3190.0,3072.0,3086.10009765625,5013,0,0
