Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-02-25,61.20000076293945,65.0,60.0,62.150001525878906,7864,0,0
2022-02-28,65.0,65.0,60.349998474121094,63.900001525878906,3105,0,0
2022-03-02,65.75,65.75,61.45000076293945,64.0999984741211,4756,0,0
2022-03-03,66.5,66.5,62.54999923706055,63.04999923706055,24532,0,0
2022-03-04,61.650001525878906,64.55000305175781,61.400001525878906,61.849998474121094,4176,0,0
2022-03-07,60.20000076293945,61.70000076293945,58.150001525878906,59.20000076293945,2618,0,0
2022-03-08,62.849998474121094,65.0,58.099998474121094,59.599998474121094,11846,0,0
2022-03-09,59.150001525878906,64.8499984741211,58.95000076293945,63.95000076293945,8973,0,0
2022-03-10,65.94999694824219,66.0,63.5,63.900001525878906,4559,0,0
2022-03-11,62.349998474121094,67.9000015258789,62.099998474121094,65.8499984741211,18656,0,0
2022-03-14,65.4000015258789,71.69999694824219,65.4000015258789,68.1500015258789,17653,0,0
2022-03-15,68.25,71.0,66.3499984741211,67.0999984741211,6411,0,0
2022-03-16,67.0999984741211,69.94999694824219,66.6500015258789,68.55000305175781,7844,0,0
2022-03-17,67.5,71.0,66.30000305175781,68.3499984741211,10176,0,0
2022-03-21,66.30000305175781,70.0,65.9000015258789,66.25,16191,0,0
2022-03-22,66.0999984741211,67.94999694824219,64.5999984741211,65.6500015258789,13023,0,0
2022-03-23,64.5,67.4000015258789,64.0,64.25,16847,0,0
2022-03-24,68.0,69.9000015258789,64.0,67.05000305175781,15714,0,0
2022-03-25,68.0,68.0,65.0,65.1500015258789,15257,0,0
