Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-02-28,181.0,192.25,177.0,185.64999389648438,5752,0,0
2022-03-02,185.0,189.6999969482422,176.60000610351562,180.25,10978,0,0
2022-03-03,189.0,189.25,185.0500030517578,189.25,4380,0,0
2022-03-04,185.0,194.89999389648438,180.10000610351562,189.89999389648438,11287,0,0
2022-03-07,181.1999969482422,189.6999969482422,180.4499969482422,180.4499969482422,13925,0,0
2022-03-08,176.89999389648438,182.39999389648438,175.10000610351562,176.3000030517578,8878,0,0
2022-03-09,183.9499969482422,185.10000610351562,180.8000030517578,184.3000030517578,5605,0,0
2022-03-10,189.60000610351562,193.5,186.0,188.0500030517578,6084,0,0
2022-03-11,192.0,192.0,180.0500030517578,189.1999969482422,4615,0,0
2022-03-14,186.0,190.0,184.0,187.0,3158,0,0
2022-03-15,189.89999389648438,192.6999969482422,180.5,183.8000030517578,6920,0,0
2022-03-16,189.8000030517578,189.8000030517578,182.10000610351562,185.6999969482422,2545,0,0
2022-03-17,191.6999969482422,194.9499969482422,186.5,189.3000030517578,7214,0,0
2022-03-21,189.0,192.0,185.5500030517578,185.9499969482422,5188,0,0
2022-03-22,185.60000610351562,188.35000610351562,182.10000610351562,183.6999969482422,43718,0,0
2022-03-23,183.10000610351562,189.0,183.10000610351562,185.5500030517578,4480,0,0
2022-03-24,187.64999389648438,191.5,182.1999969482422,191.25,3029,0,0
2022-03-25,191.5,200.8000030517578,185.75,188.85000610351562,9142,0,0
