Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-02-28,147.0,152.9499969482422,147.0,152.9499969482422,46341,0,0
2022-03-02,158.9499969482422,160.5500030517578,150.10000610351562,152.3000030517578,147105,0,0
2022-03-03,154.0,159.39999389648438,149.4499969482422,154.25,60425,0,0
2022-03-04,156.5,156.5,147.10000610351562,148.3000030517578,28967,0,0
2022-03-07,145.0,149.35000610351562,141.5,142.75,17244,0,0
2022-03-08,145.89999389648438,149.0,141.5500030517578,146.60000610351562,19920,0,0
2022-03-09,146.39999389648438,153.89999389648438,146.39999389648438,153.89999389648438,16439,0,0
2022-03-10,159.0,161.5500030517578,155.25,161.5500030517578,57710,0,0
2022-03-11,162.0,162.0,153.5500030517578,159.5,27530,0,0
2022-03-14,159.0,167.4499969482422,157.14999389648438,166.25,34803,0,0
2022-03-15,168.8000030517578,168.8000030517578,159.10000610351562,161.60000610351562,30313,0,0
2022-03-16,160.0,167.0,160.0,164.8000030517578,20919,0,0
2022-03-17,171.75,171.75,163.60000610351562,168.0,27186,0,0
2022-03-21,169.9499969482422,172.3000030517578,160.14999389648438,163.5500030517578,27307,0,0
2022-03-22,161.35000610351562,165.39999389648438,161.0,163.35000610351562,23812,0,0
2022-03-23,162.0,168.8000030517578,158.60000610351562,160.9499969482422,30769,0,0
2022-03-24,162.0,163.1999969482422,155.0500030517578,156.6999969482422,21590,0,0
2022-03-25,156.9499969482422,158.9499969482422,151.1999969482422,152.14999389648438,18792,0,0
