Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-02-28,292.79998779296875,300.0,280.0,291.45001220703125,105062,0,0
2022-03-02,294.5,305.0,288.25,297.75,290531,0,0
2022-03-03,297.8999938964844,304.3999938964844,295.0,296.1499938964844,82487,0,0
2022-03-04,296.20001220703125,298.20001220703125,285.1499938964844,288.5,69536,0,0
2022-03-07,285.79998779296875,290.79998779296875,273.1000061035156,283.1499938964844,72280,0,0
2022-03-08,278.5,295.95001220703125,278.5,291.1499938964844,119345,0,0
2022-03-09,298.8999938964844,326.0,293.0,315.8999938964844,547396,0,0
2022-03-10,326.0,329.3999938964844,305.0,308.54998779296875,253436,0,0
2022-03-11,311.8999938964844,316.6000061035156,306.3500061035156,310.6499938964844,141546,0,0
2022-03-14,312.0,317.0,307.1499938964844,312.25,84401,0,0
2022-03-15,312.0,324.3999938964844,302.1000061035156,305.8500061035156,174078,0,0
2022-03-16,314.95001220703125,314.95001220703125,304.75,308.45001220703125,160138,0,0
2022-03-17,311.0,318.25,306.25,308.3500061035156,212757,0,0
2022-03-21,309.45001220703125,323.0,309.45001220703125,310.04998779296875,122957,0,0
2022-03-22,312.5,313.75,306.0,309.70001220703125,58393,0,0
2022-03-23,312.0,317.0,309.04998779296875,312.1499938964844,56315,0,0
2022-03-24,315.3999938964844,318.04998779296875,309.25,311.6499938964844,89275,0,0
2022-03-25,314.1499938964844,314.1499938964844,295.5,301.29998779296875,128211,0,0
