Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-02-28,113.0999984741211,116.0,112.0,112.9000015258789,119109,0,0
2022-03-02,113.05000305175781,114.8499984741211,110.9000015258789,111.80000305175781,103727,0,0
2022-03-03,113.0,114.0,108.8499984741211,110.0999984741211,233822,0,0
2022-03-04,110.9000015258789,110.9000015258789,106.4000015258789,108.80000305175781,144459,0,0
2022-03-07,107.94999694824219,107.94999694824219,102.0,106.25,195728,0,0
2022-03-08,105.0,109.9000015258789,101.5,106.1500015258789,333894,0,0
2022-03-09,107.75,111.80000305175781,107.3499984741211,109.19999694824219,232535,0,0
2022-03-10,113.0,114.1500015258789,110.5,111.6500015258789,165116,0,0
2022-03-11,113.30000305175781,113.30000305175781,110.69999694824219,112.25,171932,0,0
2022-03-14,111.5,115.5,111.5,113.1500015258789,248763,0,0
2022-03-15,115.0,117.0,112.55000305175781,114.0,165864,0,0
2022-03-16,116.0,118.5,115.05000305175781,116.9000015258789,159067,0,0
2022-03-17,118.0,121.5,117.5,119.8499984741211,159806,0,0
2022-03-21,120.9000015258789,123.5999984741211,119.0,120.30000305175781,169819,0,0
2022-03-22,119.94999694824219,120.75,118.0,119.19999694824219,159383,0,0
2022-03-23,120.55000305175781,120.9000015258789,114.4000015258789,115.5,188127,0,0
2022-03-24,116.6500015258789,118.30000305175781,115.19999694824219,116.9000015258789,102327,0,0
2022-03-25,118.05000305175781,118.9000015258789,114.5,115.30000305175781,124419,0,0
