Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-02-28,53.95000076293945,56.900001525878906,49.54999923706055,52.900001525878906,16488,0,0
2022-03-02,49.25,53.0,49.25,51.349998474121094,7045,0,0
2022-03-03,53.45000076293945,53.45000076293945,50.0,50.849998474121094,4494,0,0
2022-03-04,51.900001525878906,51.900001525878906,49.099998474121094,50.29999923706055,3586,0,0
2022-03-07,49.29999923706055,52.5,47.04999923706055,49.400001525878906,4637,0,0
2022-03-08,48.0,51.0,48.0,50.650001525878906,3383,0,0
2022-03-09,52.0,52.0,49.25,51.849998474121094,3049,0,0
2022-03-10,54.0,54.04999923706055,50.25,53.5,4032,0,0
2022-03-11,53.5,54.20000076293945,53.20000076293945,53.849998474121094,4586,0,0
2022-03-14,53.849998474121094,53.849998474121094,49.54999923706055,51.75,8603,0,0
2022-03-15,51.75,51.75,49.20000076293945,49.54999923706055,7156,0,0
2022-03-16,52.900001525878906,52.900001525878906,49.099998474121094,50.150001525878906,9848,0,0
2022-03-17,50.25,52.75,50.0,51.099998474121094,5857,0,0
2022-03-21,51.099998474121094,51.900001525878906,48.70000076293945,49.54999923706055,7173,0,0
2022-03-22,51.0,51.70000076293945,48.0,48.400001525878906,4894,0,0
2022-03-23,48.54999923706055,53.20000076293945,48.54999923706055,53.20000076293945,15594,0,0
2022-03-24,54.5,58.5,51.04999923706055,57.95000076293945,55903,0,0
2022-03-25,58.0,60.0,53.400001525878906,54.349998474121094,21855,0,0
