Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-02-28,24.299999237060547,24.299999237060547,22.25,22.649999618530273,36708,0,0
2022-03-02,22.399999618530273,24.649999618530273,22.350000381469727,22.5,17071,0,0
2022-03-03,22.5,23.899999618530273,21.149999618530273,22.100000381469727,52396,0,0
2022-03-04,21.700000762939453,23.25,20.799999237060547,22.049999237060547,9956,0,0
2022-03-07,22.0,23.399999618530273,20.5,20.799999237060547,18430,0,0
2022-03-08,21.200000762939453,21.899999618530273,20.600000381469727,21.649999618530273,9063,0,0
2022-03-09,21.899999618530273,23.75,21.850000381469727,22.25,14790,0,0
2022-03-10,22.399999618530273,23.149999618530273,22.299999237060547,22.700000762939453,8805,0,0
2022-03-11,23.0,23.850000381469727,22.0,22.0,8309,0,0
2022-03-14,22.850000381469727,22.850000381469727,21.100000381469727,21.5,11730,0,0
2022-03-15,21.950000762939453,21.950000762939453,20.549999237060547,21.450000762939453,15079,0,0
2022-03-16,21.049999237060547,22.850000381469727,20.350000381469727,21.100000381469727,21908,0,0
2022-03-17,21.5,21.899999618530273,21.0,21.450000762939453,14482,0,0
2022-03-21,22.100000381469727,22.100000381469727,19.600000381469727,20.299999237060547,61343,0,0
2022-03-22,21.600000381469727,21.649999618530273,20.450000762939453,21.100000381469727,19000,0,0
2022-03-23,22.200000762939453,25.299999237060547,20.700000762939453,25.299999237060547,106123,0,0
2022-03-24,27.299999237060547,30.350000381469727,26.799999237060547,30.350000381469727,891272,0,0
2022-03-25,33.349998474121094,33.349998474121094,32.349998474121094,33.349998474121094,551529,0,0
