Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-02-25,11.100000381469727,11.100000381469727,11.100000381469727,11.100000381469727,64777,0,0
2022-02-28,11.5,11.5,10.550000190734863,10.699999809265137,503150,0,0
2022-03-02,10.550000190734863,11.0,10.199999809265137,10.199999809265137,152453,0,0
2022-03-03,9.800000190734863,10.300000190734863,9.699999809265137,9.699999809265137,116602,0,0
2022-03-04,9.350000381469727,9.800000190734863,9.25,9.25,100153,0,0
2022-03-07,9.25,9.699999809265137,9.25,9.699999809265137,27843,0,0
2022-03-08,10.149999618530273,10.149999618530273,10.149999618530273,10.149999618530273,12883,0,0
2022-03-09,10.649999618530273,10.649999618530273,10.199999809265137,10.649999618530273,171055,0,0
2022-03-10,11.149999618530273,11.149999618530273,11.0,11.149999618530273,94088,0,0
2022-03-11,11.699999809265137,11.699999809265137,11.399999618530273,11.699999809265137,175000,0,0
2022-03-14,12.25,12.25,11.149999618530273,11.149999618530273,166360,0,0
2022-03-15,10.600000381469727,10.600000381469727,10.600000381469727,10.600000381469727,30490,0,0
2022-03-16,10.100000381469727,10.100000381469727,10.100000381469727,10.100000381469727,37322,0,0
2022-03-17,9.75,10.600000381469727,9.600000381469727,10.050000190734863,102122,0,0
2022-03-21,10.550000190734863,10.550000190734863,9.75,9.899999618530273,74498,0,0
2022-03-22,10.300000190734863,10.350000381469727,9.699999809265137,9.800000190734863,33664,0,0
2022-03-23,9.800000190734863,10.25,9.600000381469727,10.100000381469727,59242,0,0
2022-03-24,10.199999809265137,10.350000381469727,9.600000381469727,9.699999809265137,269314,0,0
2022-03-25,9.600000381469727,10.0,9.399999618530273,9.800000190734863,70462,0,0
