Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-02-25,159.39999389648438,160.39999389648438,156.8000030517578,159.5,20225258,0,0
2022-02-28,160.5,161.85000610351562,155.8000030517578,160.64999389648438,20210070,0,0
2022-03-02,165.64999389648438,168.35000610351562,161.89999389648438,162.9499969482422,41103406,0,0
2022-03-03,168.3000030517578,171.8000030517578,162.89999389648438,170.3000030517578,42345653,0,0
2022-03-04,170.10000610351562,171.0,163.85000610351562,165.25,32658756,0,0
2022-03-07,167.10000610351562,189.8000030517578,167.10000610351562,186.9499969482422,132538155,0,0
2022-03-08,190.0,194.9499969482422,177.8000030517578,179.10000610351562,73127816,0,0
2022-03-09,183.0,183.8000030517578,173.85000610351562,175.39999389648438,51977091,0,0
2022-03-10,168.25,176.89999389648438,165.0,174.35000610351562,62112814,0,0
2022-03-11,172.5,176.39999389648438,171.6999969482422,175.6999969482422,26187452,0,0
2022-03-14,174.0,175.5,170.60000610351562,171.8000030517578,20214021,0,0
2022-03-15,168.3000030517578,169.5,161.64999389648438,163.75,42333127,0,0
2022-03-16,166.0,167.85000610351562,161.85000610351562,167.3000030517578,25545119,0,0
2022-03-17,166.60000610351562,171.5,164.60000610351562,170.3000030517578,66314748,0,0
2022-03-21,171.6999969482422,175.0,170.3000030517578,172.5500030517578,20614652,0,0
2022-03-22,176.1999969482422,181.25,173.8000030517578,175.4499969482422,39742745,0,0
2022-03-23,176.5,177.6999969482422,174.85000610351562,175.60000610351562,10994784,0,0
2022-03-24,178.89999389648438,180.39999389648438,176.5,177.4499969482422,20332589,0,0
2022-03-25,178.5,179.25,175.10000610351562,175.8000030517578,13597568,0,0
