Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-02-25,40400.0,41882.1484375,40400.0,41476.6015625,23347,0,0
2022-02-28,41425.5,42499.8984375,40450.0,42256.19921875,26868,0,0
2022-03-02,42047.0,42149.94921875,41076.19921875,41597.8515625,22523,0,0
2022-03-03,42499.0,42499.0,41520.1484375,41827.44921875,22708,0,0
2022-03-04,41380.0,41570.8984375,40380.0,40996.25,21161,0,0
2022-03-07,40399.0,40399.0,39627.25,39914.30078125,22782,0,0
2022-03-08,39720.0,40299.8984375,39013.75,39514.3984375,35251,0,0
2022-03-09,39870.0,40199.5,39455.0,39999.19921875,29402,0,0
2022-03-10,40600.0,41285.0,40450.0,41000.55078125,17887,0,0
2022-03-11,40750.0,41600.0,40639.0,41488.8515625,10969,0,0
2022-03-14,41350.0,41835.3984375,40912.55078125,41686.69921875,14668,0,0
2022-03-15,41624.44921875,41624.44921875,40954.0,41230.69921875,22771,0,0
2022-03-16,41444.0,42566.94921875,41356.75,42354.94921875,24233,0,0
2022-03-17,42430.0,43099.94921875,42050.6015625,42674.1015625,32302,0,0
2022-03-21,43000.0,43099.0,41655.94921875,41826.19921875,17924,0,0
2022-03-22,41826.0,41955.80078125,40777.0,41790.1015625,23776,0,0
2022-03-23,41826.0,42335.94921875,41711.19921875,42024.55078125,17247,0,0
2022-03-24,41890.0,42211.94921875,41161.6015625,41383.55078125,17977,0,0
2022-03-25,41670.0,41723.69921875,40341.44921875,40444.69921875,18465,0,0
