Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-02-28,684.0,748.9500122070312,665.75,691.3499755859375,5897,0,0
2022-03-02,667.0,692.4000244140625,630.0,634.5,38320,0,0
2022-03-03,643.2000122070312,660.0,612.25,615.4500122070312,33909,0,0
2022-03-04,609.0999755859375,620.0,596.0,605.1500244140625,14901,0,0
2022-03-07,597.0,599.5999755859375,577.0,589.1500244140625,8770,0,0
2022-03-08,590.0499877929688,609.9500122070312,588.0,599.4000244140625,5631,0,0
2022-03-09,618.0,619.9500122070312,581.0,599.6500244140625,11877,0,0
2022-03-10,605.0999755859375,647.0,597.0,600.9500122070312,33181,0,0
2022-03-11,609.9000244140625,619.0,597.0,599.1500244140625,16941,0,0
2022-03-14,618.5,619.0,601.0,604.4000244140625,147197,0,0
2022-03-15,640.0,687.0,624.1500244140625,630.4500122070312,314284,0,0
2022-03-16,659.0,713.9500122070312,646.7999877929688,699.5499877929688,178460,0,0
2022-03-17,715.0,731.9500122070312,707.9000244140625,717.9500122070312,55947,0,0
2022-03-21,718.1500244140625,734.0499877929688,683.0,690.2999877929688,34222,0,0
2022-03-22,696.9000244140625,698.7000122070312,675.0,681.7000122070312,11125,0,0
2022-03-23,689.0,700.3499755859375,670.5499877929688,673.0,22679,0,0
2022-03-24,673.0,674.25,650.9500122070312,657.5,14250,0,0
2022-03-25,658.0,663.0,629.0,634.4000244140625,24791,0,0
