Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-02-28,220.0,230.89999389648438,216.8000030517578,225.35000610351562,90339,0,0
2022-03-02,225.5500030517578,227.64999389648438,220.0,221.75,58011,0,0
2022-03-03,228.0,235.14999389648438,224.0,225.25,47696,0,0
2022-03-04,228.0,228.0,215.0,221.9499969482422,35179,0,0
2022-03-07,218.0,227.6999969482422,215.14999389648438,224.0500030517578,62382,0,0
2022-03-08,224.9499969482422,231.9499969482422,220.85000610351562,230.75,67178,0,0
2022-03-09,236.89999389648438,255.0,225.0,245.25,216312,0,0
2022-03-10,258.70001220703125,258.70001220703125,244.10000610351562,247.1999969482422,94487,0,0
2022-03-11,249.0,252.60000610351562,245.0,247.8000030517578,50436,0,0
2022-03-14,250.60000610351562,264.8999938964844,246.8000030517578,261.75,244031,0,0
2022-03-15,262.5,263.8999938964844,246.35000610351562,248.39999389648438,130438,0,0
2022-03-16,254.0,254.5500030517578,248.89999389648438,252.64999389648438,36968,0,0
2022-03-17,252.64999389648438,258.75,252.35000610351562,256.04998779296875,51354,0,0
2022-03-21,260.95001220703125,307.25,256.79998779296875,287.3999938964844,656504,0,0
2022-03-22,287.3999938964844,289.54998779296875,281.0,282.04998779296875,106454,0,0
2022-03-23,286.8500061035156,287.3999938964844,278.04998779296875,282.04998779296875,63641,0,0
2022-03-24,284.8999938964844,284.8999938964844,278.0,278.6499938964844,32589,0,0
2022-03-25,281.5,284.1000061035156,274.0,275.04998779296875,45349,0,0
