Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-02-28,368.0,378.0,355.1000061035156,370.8500061035156,21901,0,0
2022-03-02,379.95001220703125,388.95001220703125,373.25,386.79998779296875,32551,0,0
2022-03-03,389.6000061035156,424.3999938964844,386.5,412.5,83688,0,0
2022-03-04,399.5,416.0,399.0,405.29998779296875,31095,0,0
2022-03-07,399.0,400.0,365.20001220703125,375.5,99081,0,0
2022-03-08,378.0,389.0,372.5,380.20001220703125,15875,0,0
2022-03-09,386.0,412.0,373.6000061035156,408.6499938964844,42131,0,0
2022-03-10,428.0,428.0,409.95001220703125,420.5,122885,0,0
2022-03-11,419.0,435.0,415.0,427.75,31376,0,0
2022-03-14,433.70001220703125,443.8999938964844,421.6000061035156,436.70001220703125,52695,0,0
2022-03-15,440.95001220703125,475.0,425.0,439.45001220703125,158644,0,0
2022-03-16,447.8999938964844,462.0,440.04998779296875,457.5,66102,0,0
2022-03-17,462.25,470.0,455.0,459.04998779296875,51846,0,0
2022-03-21,471.0,471.0,436.79998779296875,445.45001220703125,42083,0,0
2022-03-22,453.0,489.0,446.1000061035156,483.04998779296875,175434,0,0
2022-03-23,485.79998779296875,503.0,473.0,481.95001220703125,142901,0,0
2022-03-24,487.8999938964844,498.1000061035156,471.0,491.5,65880,0,0
2022-03-25,486.6000061035156,513.0,486.5,505.45001220703125,131107,0,0
