Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-02-28,3.8499999046325684,3.950000047683716,3.6500000953674316,3.950000047683716,40758,0,0
2022-03-02,3.8499999046325684,4.099999904632568,3.8499999046325684,4.099999904632568,12079,0,0
2022-03-03,4.300000190734863,4.300000190734863,4.300000190734863,4.300000190734863,3837,0,0
2022-03-04,4.5,4.5,4.5,4.5,28277,0,0
2022-03-07,4.699999809265137,4.699999809265137,4.300000190734863,4.300000190734863,63177,0,0
2022-03-08,4.099999904632568,4.300000190734863,4.099999904632568,4.150000095367432,23876,0,0
2022-03-09,3.950000047683716,4.349999904632568,3.950000047683716,4.349999904632568,39566,0,0
2022-03-10,4.349999904632568,4.550000190734863,4.349999904632568,4.550000190734863,20715,0,0
2022-03-11,4.75,4.75,4.349999904632568,4.650000095367432,47315,0,0
2022-03-14,4.599999904632568,4.849999904632568,4.449999809265137,4.849999904632568,67329,0,0
2022-03-15,5.050000190734863,5.050000190734863,4.650000095367432,4.699999809265137,117969,0,0
2022-03-16,4.800000190734863,4.849999904632568,4.5,4.699999809265137,35428,0,0
2022-03-17,4.849999904632568,4.849999904632568,4.5,4.699999809265137,42838,0,0
2022-03-21,4.800000190734863,4.800000190734863,4.5,4.599999904632568,30198,0,0
2022-03-22,4.599999904632568,4.699999809265137,4.400000095367432,4.5,25860,0,0
2022-03-23,4.300000190734863,4.650000095367432,4.300000190734863,4.349999904632568,40749,0,0
2022-03-24,4.150000095367432,4.5,4.150000095367432,4.199999809265137,43591,0,0
2022-03-25,4.0,4.300000190734863,4.0,4.150000095367432,19244,0,0
