Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-02-28,340.0,352.5,333.0,349.8500061035156,22529,0,0
2022-03-02,349.8500061035156,349.8500061035156,337.0,339.75,9994,0,0
2022-03-03,339.8999938964844,348.20001220703125,332.0,333.25,10912,0,0
2022-03-04,333.95001220703125,337.75,325.1499938964844,334.75,25826,0,0
2022-03-07,330.0,364.79998779296875,308.3999938964844,337.20001220703125,33037,0,0
2022-03-08,329.79998779296875,336.1499938964844,323.0,330.04998779296875,6631,0,0
2022-03-09,331.0,363.75,331.0,347.79998779296875,31179,0,0
2022-03-10,352.6000061035156,357.95001220703125,346.5,347.04998779296875,9972,0,0
2022-03-11,343.0,351.95001220703125,339.20001220703125,343.8999938964844,11990,0,0
2022-03-14,343.8999938964844,344.95001220703125,332.95001220703125,335.25,11889,0,0
2022-03-15,335.0,342.0,330.1000061035156,334.45001220703125,11476,0,0
2022-03-16,337.45001220703125,340.0,330.04998779296875,333.3500061035156,79675,0,0
2022-03-17,340.0,348.8999938964844,335.0,341.8999938964844,27846,0,0
2022-03-21,342.45001220703125,347.3999938964844,332.0,333.45001220703125,16152,0,0
2022-03-22,333.45001220703125,338.29998779296875,331.0,336.3999938964844,7199,0,0
2022-03-23,340.0,342.3500061035156,333.75,335.79998779296875,10555,0,0
2022-03-24,333.5,337.20001220703125,330.45001220703125,331.5,7429,0,0
2022-03-25,332.3500061035156,334.8999938964844,324.0,326.95001220703125,11234,0,0
