Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-02-28,296.45001220703125,296.45001220703125,285.54998779296875,294.0,5926,0,0
2022-03-02,282.25,293.8999938964844,280.20001220703125,287.0,3898,0,0
2022-03-03,287.0,299.95001220703125,285.0,295.3999938964844,7447,0,0
2022-03-04,299.0,301.0,287.0,294.3500061035156,6399,0,0
2022-03-07,287.1000061035156,304.8999938964844,281.6000061035156,300.3500061035156,19313,0,0
2022-03-08,300.3500061035156,307.79998779296875,286.04998779296875,304.70001220703125,10396,0,0
2022-03-09,304.70001220703125,319.8999938964844,304.70001220703125,319.8999938964844,13415,0,0
2022-03-10,333.0,334.8500061035156,319.0,319.29998779296875,9649,0,0
2022-03-11,325.0,325.0,315.1000061035156,323.95001220703125,7343,0,0
2022-03-14,325.25,333.0,318.0,326.5,8334,0,0
2022-03-15,326.0,331.8999938964844,311.6000061035156,318.0,8499,0,0
2022-03-16,331.0,333.0,313.04998779296875,328.8500061035156,14077,0,0
2022-03-17,335.0,345.25,325.29998779296875,338.1499938964844,21822,0,0
2022-03-21,344.0,344.0,325.0,326.20001220703125,5886,0,0
2022-03-22,332.0,342.0,312.3500061035156,332.25,7346,0,0
2022-03-23,331.0,342.0,325.1499938964844,331.20001220703125,8919,0,0
2022-03-24,325.0,337.0,315.0,319.0,7099,0,0
2022-03-25,319.0,334.95001220703125,318.0,330.1499938964844,17236,0,0
