Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-02-28,129.3000030517578,133.85000610351562,126.55000305175781,132.3000030517578,132183,0,0
2022-03-02,131.0,133.1999969482422,130.10000610351562,130.9499969482422,63112,0,0
2022-03-03,133.39999389648438,134.85000610351562,131.4499969482422,132.1999969482422,129383,0,0
2022-03-04,132.0,132.5,128.10000610351562,129.14999389648438,87622,0,0
2022-03-07,126.05000305175781,129.89999389648438,125.5,127.1500015258789,84228,0,0
2022-03-08,125.6500015258789,133.8000030517578,125.6500015258789,131.6999969482422,124151,0,0
2022-03-09,132.9499969482422,135.3000030517578,131.89999389648438,133.75,204835,0,0
2022-03-10,135.89999389648438,136.85000610351562,132.10000610351562,132.85000610351562,96329,0,0
2022-03-11,131.3000030517578,134.75,131.3000030517578,133.35000610351562,59272,0,0
2022-03-14,133.85000610351562,136.3000030517578,133.5,135.5500030517578,100285,0,0
2022-03-15,136.5,138.8000030517578,133.25,134.0500030517578,120897,0,0
2022-03-16,134.5,146.0,134.0,143.35000610351562,501000,0,0
2022-03-17,144.75,146.0,141.10000610351562,143.14999389648438,281338,0,0
2022-03-21,144.89999389648438,144.9499969482422,141.3000030517578,142.1999969482422,106412,0,0
2022-03-22,142.9499969482422,146.4499969482422,141.14999389648438,142.5500030517578,401597,0,0
2022-03-23,144.5,150.0,142.39999389648438,143.25,1052588,0,0
2022-03-24,143.8000030517578,144.5,138.64999389648438,139.9499969482422,213109,0,0
2022-03-25,140.60000610351562,146.89999389648438,140.60000610351562,143.35000610351562,528930,0,0
