Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-02-28,6465.0,6480.0,6282.0498046875,6431.85009765625,294069,0,0
2022-03-02,6374.0,6629.0,6340.0498046875,6564.7998046875,330743,0,0
2022-03-03,6744.39990234375,6789.0,6617.0,6659.5498046875,206261,0,0
2022-03-04,6635.0,6800.0,6518.0,6673.60009765625,298568,0,0
2022-03-07,6571.0,6637.0,6465.0,6554.75,171241,0,0
2022-03-08,6554.10009765625,6656.25,6486.0,6572.7001953125,189439,0,0
2022-03-09,6664.0,7060.0,6580.0498046875,6993.0,419890,0,0
2022-03-10,7247.0,7290.0,6990.0,7010.0498046875,236784,0,0
2022-03-11,7010.0498046875,7180.0,6925.2998046875,7121.2001953125,197254,0,0
2022-03-14,7150.0,7220.0,7115.0,7169.64990234375,157696,0,0
2022-03-15,7164.0,7229.7001953125,6908.0,6997.4501953125,198353,0,0
2022-03-16,7140.0,7249.0,7075.0,7213.39990234375,171345,0,0
2022-03-17,7300.0,7625.0,7137.60009765625,7431.75,804233,0,0
2022-03-21,7520.0,7527.60009765625,7340.10009765625,7403.75,278972,0,0
2022-03-22,7429.7998046875,7554.0498046875,7311.0,7512.60009765625,312549,0,0
2022-03-23,7550.2001953125,7722.10009765625,7535.0,7692.0,357796,0,0
2022-03-24,7685.0,7775.0,7566.60009765625,7606.89990234375,286798,0,0
2022-03-25,7649.0,8534.0,7600.25,8438.2001953125,1825533,0,0
