Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-02-28,318.54998779296875,320.0,305.0,307.70001220703125,808,0,0
2022-03-02,309.5,319.70001220703125,306.04998779296875,317.04998779296875,457,0,0
2022-03-03,339.0,339.0,304.54998779296875,324.20001220703125,595,0,0
2022-03-04,323.79998779296875,323.79998779296875,305.0,306.3500061035156,975,0,0
2022-03-07,294.04998779296875,324.5,294.04998779296875,311.25,1304,0,0
2022-03-08,319.3500061035156,319.45001220703125,305.0,314.8999938964844,382,0,0
2022-03-09,341.95001220703125,341.95001220703125,291.3500061035156,312.04998779296875,547,0,0
2022-03-10,314.04998779296875,323.0,310.6000061035156,312.1499938964844,118,0,0
2022-03-11,315.95001220703125,315.95001220703125,310.20001220703125,310.79998779296875,234,0,0
2022-03-14,311.0,314.20001220703125,283.6000061035156,311.1000061035156,2020,0,0
2022-03-15,307.0,319.0,300.1000061035156,304.1499938964844,736,0,0
2022-03-16,306.04998779296875,314.1499938964844,299.0,302.6499938964844,180,0,0
2022-03-17,307.1000061035156,313.95001220703125,304.04998779296875,310.25,372,0,0
2022-03-21,316.75,316.95001220703125,303.5,310.0,853,0,0
2022-03-22,302.04998779296875,327.0,302.04998779296875,316.3500061035156,10484,0,0
2022-03-23,306.3999938964844,323.79998779296875,306.3999938964844,318.1000061035156,1241,0,0
2022-03-24,330.0,330.0,311.70001220703125,320.25,505,0,0
2022-03-25,308.29998779296875,318.0,308.29998779296875,315.3500061035156,7975,0,0
