Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-02-28,957.0999755859375,1049.0,957.0999755859375,984.2000122070312,2227,0,0
2022-03-02,1025.0,1030.9000244140625,970.0,1022.1500244140625,2386,0,0
2022-03-03,980.25,1049.0,980.25,1028.0,418,0,0
2022-03-04,1000.0,1040.0,980.5999755859375,989.2999877929688,1802,0,0
2022-03-07,984.0,1038.75,967.0999755859375,983.3499755859375,4026,0,0
2022-03-08,966.0,1005.0,935.0,998.75,6603,0,0
2022-03-09,1004.9500122070312,1004.9500122070312,960.2000122070312,986.75,3456,0,0
2022-03-10,1007.5,1007.5,976.0,985.7999877929688,1923,0,0
2022-03-11,976.9000244140625,999.75,975.0,986.5,3195,0,0
2022-03-14,1002.0,1002.0,983.2999877929688,993.1500244140625,5875,0,0
2022-03-15,989.9000244140625,999.9500122070312,973.25,996.8499755859375,3219,0,0
2022-03-16,1000.0,1000.0,970.0,975.4000244140625,1444,0,0
2022-03-17,982.75,1024.1500244140625,981.0499877929688,1020.0999755859375,4161,0,0
2022-03-21,1052.0,1061.0,1010.0,1023.5,5448,0,0
2022-03-22,1030.050048828125,1030.050048828125,1001.0999755859375,1010.1500244140625,1337,0,0
2022-03-23,1011.0499877929688,1011.1500244140625,985.0,986.25,3881,0,0
2022-03-24,1000.1500244140625,1000.1500244140625,982.0,986.25,628,0,0
2022-03-25,980.0,980.0,936.9500122070312,937.5,5632,0,0
