Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-02-28,3466.39990234375,3466.39990234375,3320.449951171875,3435.699951171875,713,0,0
2022-03-02,3435.699951171875,3500.0,3374.14990234375,3482.949951171875,598,0,0
2022-03-03,3514.699951171875,3525.25,3381.050048828125,3418.550048828125,909,0,0
2022-03-04,3379.949951171875,3417.800048828125,3350.14990234375,3400.550048828125,688,0,0
2022-03-07,3306.0,3392.0,3301.0,3347.449951171875,839,0,0
2022-03-08,3344.89990234375,3487.949951171875,3286.550048828125,3402.800048828125,469,0,0
2022-03-09,3444.550048828125,3504.949951171875,3409.0,3496.64990234375,546,0,0
2022-03-10,3678.0,3678.0,3500.0,3524.85009765625,507,0,0
2022-03-11,3474.5,3599.75,3464.14990234375,3582.60009765625,956,0,0
2022-03-14,3643.0,3674.949951171875,3563.699951171875,3643.85009765625,1030,0,0
2022-03-15,3698.949951171875,3719.0,3562.199951171875,3628.35009765625,1358,0,0
2022-03-16,3783.949951171875,3783.949951171875,3635.25,3685.050048828125,797,0,0
2022-03-17,3793.89990234375,3793.89990234375,3622.0,3639.300048828125,556,0,0
2022-03-21,3743.39990234375,3743.39990234375,3616.0,3633.800048828125,304,0,0
2022-03-22,3649.949951171875,3649.949951171875,3579.949951171875,3616.550048828125,213,0,0
2022-03-23,3609.949951171875,3714.39990234375,3609.949951171875,3616.800048828125,493,0,0
2022-03-24,3639.449951171875,3742.10009765625,3631.39990234375,3684.25,1372,0,0
2022-03-25,3750.0,3810.0,3699.699951171875,3765.85009765625,1477,0,0
